target_id,account_id,campaign_id,target_date,priority,recommended_channel,status,quality_flag
TGT0000086,ACC0009119,CMP0000015,2026-01-31,5,WHATSAPP,SKIPPED,VALID
TGT0000087,ACC0015518,CMP0000004,2026-02-05,9,FIELD,CONTACTED,VALID
TGT0000088,ACC0010125,CMP0000028,2026-04-03,9,SMS,CONTACTED,VALID
TGT0000089,ACC0025125,CMP0000011,2026-05-06,8,SMS,CONTACTED,VALID
TGT0000090,ACC0007438,CMP0000010,2026-07-31,7,VOICE,QUEUED,VALID
TGT0000091,ACC0017916,CMP0000017,2026-05-21,1,WHATSAPP,SKIPPED,VALID
TGT0000092,ACC0024142,CMP0000120,2026-07-27,10,FIELD,QUEUED,VALID
TGT0000093,ACC0029370,CMP0000095,2026-03-06,7,WHATSAPP,QUEUED,VALID
TGT0000094,ACC0027087,CMP0000114,2026-01-04,10,SMS,CONTACTED,VALID
TGT0000095,ACC0009149,CMP0000058,2026-02-02,3,WHATSAPP,SKIPPED,VALID
TGT0000096,ACC0002860,CMP0000042,2026-03-26,2,FIELD,CONTACTED,VALID
TGT0000097,ACC0019966,CMP0000105,2026-04-08,6,SMS,QUEUED,VALID
TGT0000098,ACC0021939,CMP0000029,2026-03-09,10,SMS,CONTACTED,VALID
TGT0000099,ACC0019711,CMP0000118,2026-02-02,10,SMS,CONTACTED,VALID
TGT0000100,ACC0029195,CMP0000117,2026-03-10,7,VOICE,SKIPPED,VALID
TGT0000101,ACC0019843,CMP0000103,2026-05-30,9,VOICE,EXPIRED,VALID
TGT0000102,ACC0004039,CMP0000069,2026-07-11,1,FIELD,SKIPPED,VALID
TGT0000103,ACC0018301,CMP0000110,2026-05-13,10,SMS,CONTACTED,VALID
TGT0000104,ACC0006431,CMP0000013,2026-03-28,8,SMS,SKIPPED,VALID
TGT0000105,ACC0010672,CMP0000036,2026-02-17,6,VOICE,CONTACTED,VALID
TGT0000106,ACC0028544,CMP0000074,2026-04-14,6,WHATSAPP,QUEUED,VALID
TGT0000107,ACC0002049,CMP0000083,2026-01-11,8,FIELD,EXPIRED,VALID
TGT0000108,ACC0016539,CMP0000110,2026-04-17,2,SMS,QUEUED,VALID
TGT0000109,ACC0020603,CMP0000022,2026-05-19,4,FIELD,EXPIRED,VALID
TGT0000110,ACC0005167,CMP0000103,2026-05-17,9,FIELD,EXPIRED,VALID
TGT0000111,ACC0003051,CMP0000067,2026-03-11,10,FIELD,EXPIRED,VALID
TGT0000112,ACC0001458,CMP0000103,2026-05-12,2,SMS,EXPIRED,VALID
TGT0000113,ACC0028734,CMP0000013,2026-05-01,10,WHATSAPP,QUEUED,VALID
TGT0000114,ACC0020235,CMP0000071,2026-03-29,2,VOICE,SKIPPED,VALID
TGT0000115,ACC0011649,CMP0000095,2026-07-22,9,WHATSAPP,QUEUED,VALID
TGT0000116,ACC0019165,CMP0000079,2026-05-07,5,FIELD,CONTACTED,VALID
TGT0000117,ACC0026476,CMP0000038,2026-04-15,5,SMS,QUEUED,VALID
TGT0000118,ACC0018931,CMP0000066,2026-04-10,5,VOICE,EXPIRED,VALID
TGT0000119,ACC0009950,CMP0000113,2026-06-20,1,WHATSAPP,QUEUED,VALID
TGT0000120,ACC0020188,CMP0000113,2026-07-25,7,WHATSAPP,SKIPPED,VALID
TGT0000121,ACC0016427,CMP0000054,2026-07-25,3,FIELD,QUEUED,VALID
TGT0000122,ACC0017013,CMP0000001,2026-04-03,7,VOICE,QUEUED,VALID
TGT0000123,ACC0025527,CMP0000068,2026-01-17,7,SMS,CONTACTED,VALID
TGT0000124,ACC0017206,CMP0000007,2026-02-13,7,SMS,SKIPPED,VALID
TGT0000125,ACC0029784,CMP0000077,2026-05-26,9,SMS,CONTACTED,VALID
TGT0000126,ACC0020371,CMP0000055,2026-07-26,1,FIELD,CONTACTED,VALID
TGT0000127,ACC0010389,CMP0000072,2026-03-17,4,SMS,CONTACTED,VALID
TGT0000128,ACC0010092,CMP0000100,2026-01-31,2,FIELD,SKIPPED,VALID
TGT0000129,ACC0029257,CMP0000016,2026-05-05,1,WHATSAPP,QUEUED,VALID
TGT0000130,ACC0015002,CMP0000019,2026-04-07,5,FIELD,CONTACTED,VALID
TGT0000131,ACC0005945,CMP0000075,2026-07-02,5,WHATSAPP,CONTACTED,VALID
TGT0000132,ACC0028124,CMP0000049,2026-04-27,8,WHATSAPP,SKIPPED,VALID
TGT0000133,ACC0003470,CMP0000057,2026-04-26,6,FIELD,CONTACTED,VALID
TGT0000134,ACC0001805,CMP0000088,2026-07-09,5,WHATSAPP,QUEUED,VALID
TGT0000135,ACC0014232,CMP0000058,2026-08-07,7,SMS,EXPIRED,VALID
TGT0000136,ACC0009745,CMP0000063,2026-06-21,4,SMS,SKIPPED,VALID
TGT0000137,ACC0028678,CMP0000033,2026-07-14,9,VOICE,SKIPPED,VALID
TGT0000138,ACC0018023,CMP0000018,2026-04-11,2,FIELD,CONTACTED,VALID
TGT0000139,ACC0008606,CMP0000059,2026-05-24,8,WHATSAPP,CONTACTED,VALID
TGT0000140,ACC0020763,CMP0000099,2026-06-15,5,WHATSAPP,CONTACTED,VALID
TGT0000141,ACC0013465,CMP0000109,2026-04-13,3,WHATSAPP,QUEUED,VALID
TGT0000142,ACC0028202,CMP0000062,2026-02-10,4,SMS,EXPIRED,VALID
TGT0000143,ACC0007835,CMP0000070,2026-02-12,9,FIELD,SKIPPED,VALID
TGT0000144,ACC0004306,CMP0000047,2026-04-27,3,FIELD,CONTACTED,VALID
TGT0000145,ACC0000843,CMP0000026,2026-03-12,1,FIELD,QUEUED,VALID
TGT0000146,ACC0019504,CMP0000067,2026-04-08,3,FIELD,CONTACTED,VALID
TGT0000147,ACC0022150,CMP0000096,2026-01-13,4,SMS,CONTACTED,VALID
TGT0000148,ACC0016316,CMP0000023,2026-02-05,10,WHATSAPP,CONTACTED,VALID
TGT0000149,ACC0006487,CMP0000070,2026-05-14,6,WHATSAPP,QUEUED,VALID
TGT0000150,ACC0024003,CMP0000098,2026-06-15,9,WHATSAPP,SKIPPED,VALID
TGT0000151,ACC0014545,CMP0000032,2026-06-03,1,WHATSAPP,EXPIRED,VALID
TGT0000152,ACC0021803,CMP0000048,2026-07-31,6,FIELD,QUEUED,VALID
TGT0000153,ACC0001293,CMP0000001,2026-01-13,8,WHATSAPP,QUEUED,VALID
TGT0000154,ACC0029972,CMP0000074,2026-04-11,10,WHATSAPP,EXPIRED,VALID
TGT0000155,ACC0016777,CMP0000088,2026-05-16,10,SMS,QUEUED,VALID
TGT0000156,ACC0028917,CMP0000026,2026-02-23,9,WHATSAPP,CONTACTED,VALID
TGT0000157,ACC0012945,CMP0000016,2026-03-08,1,FIELD,CONTACTED,VALID
TGT0000158,ACC0012987,CMP0000022,2026-02-15,5,VOICE,SKIPPED,VALID
TGT0000159,ACC0011024,CMP0000050,2026-05-08,6,VOICE,QUEUED,VALID
TGT0000160,ACC0021733,CMP0000020,2026-01-01,2,VOICE,CONTACTED,VALID
TGT0000161,ACC0028042,CMP0000046,2026-07-27,3,WHATSAPP,CONTACTED,VALID
TGT0000162,ACC0018197,CMP0000105,2026-06-23,3,WHATSAPP,CONTACTED,VALID
TGT0000163,ACC0010326,CMP0000060,2026-04-04,4,FIELD,SKIPPED,VALID
TGT0000164,ACC0005962,CMP0000034,2026-04-19,7,VOICE,EXPIRED,VALID
TGT0000165,ACC0010230,CMP0000016,2026-01-21,7,WHATSAPP,EXPIRED,VALID
TGT0000166,ACC0029072,CMP0000018,2026-01-01,7,FIELD,EXPIRED,VALID
TGT0000167,ACC0000471,CMP0000030,2026-07-31,9,WHATSAPP,CONTACTED,VALID
TGT0000168,ACC0018191,CMP0000016,2026-03-09,5,FIELD,SKIPPED,VALID
TGT0000169,ACC0004946,CMP0000112,2026-05-16,7,FIELD,EXPIRED,VALID
TGT0000170,ACC0017995,CMP0000049,2026-02-24,1,FIELD,EXPIRED,VALID
TGT0000171,ACC0011187,CMP0000062,2026-07-31,6,VOICE,CONTACTED,VALID
TGT0000172,ACC0000437,CMP0000081,2026-03-09,1,FIELD,EXPIRED,VALID
TGT0000173,ACC0016384,CMP0000043,2026-01-04,4,WHATSAPP,QUEUED,VALID
TGT0000174,ACC0005935,CMP0000111,2026-03-29,3,SMS,EXPIRED,VALID
TGT0000175,ACC0006839,CMP0000048,2026-02-03,4,SMS,CONTACTED,VALID
TGT0000176,ACC0020879,CMP0000014,2026-05-20,6,VOICE,CONTACTED,VALID
TGT0000177,ACC0008133,CMP0000101,2026-06-22,8,SMS,CONTACTED,VALID
TGT0000178,ACC0029793,CMP0000097,2026-06-06,6,WHATSAPP,QUEUED,VALID
TGT0000179,ACC0028109,CMP0000057,2026-07-03,2,WHATSAPP,SKIPPED,VALID
TGT0000180,ACC0008368,CMP0000019,2026-03-04,9,VOICE,QUEUED,VALID
TGT0000181,ACC0007604,CMP0000059,2026-07-14,4,SMS,QUEUED,VALID
TGT0000182,ACC0011219,CMP0000057,2026-06-15,4,VOICE,SKIPPED,VALID
TGT0000183,ACC0023174,CMP0000031,2026-02-26,10,WHATSAPP,CONTACTED,VALID
TGT0000184,ACC0013469,CMP0000019,2026-06-01,4,VOICE,QUEUED,VALID
TGT0000185,ACC0018505,CMP0000035,2026-01-15,9,VOICE,CONTACTED,VALID
TGT0000186,ACC0012473,CMP0000098,2026-07-26,3,SMS,SKIPPED,VALID
TGT0000187,ACC0008411,CMP0000032,2026-03-26,6,FIELD,QUEUED,VALID
TGT0000188,ACC0022623,CMP0000052,2026-03-21,5,FIELD,SKIPPED,VALID
TGT0000189,ACC0002547,CMP0000043,2026-06-07,8,WHATSAPP,QUEUED,VALID
TGT0000190,ACC0018064,CMP0000072,2026-01-29,3,SMS,EXPIRED,VALID
TGT0000191,ACC0022455,CMP0000053,2026-02-08,4,FIELD,CONTACTED,VALID
TGT0000192,ACC0004936,CMP0000101,2026-06-12,4,FIELD,QUEUED,VALID
TGT0000193,ACC0023932,CMP0000078,2026-06-11,2,WHATSAPP,CONTACTED,VALID
TGT0000194,ACC0021040,CMP0000079,2026-07-31,4,VOICE,EXPIRED,VALID
TGT0000195,ACC0018761,CMP0000027,2026-06-08,2,VOICE,SKIPPED,VALID
TGT0000196,ACC0027639,CMP0000019,2026-02-11,5,VOICE,CONTACTED,VALID
TGT0000197,ACC0009064,CMP0000090,2026-03-08,9,VOICE,CONTACTED,VALID
TGT0000198,ACC0003244,CMP0000072,2026-04-15,4,VOICE,CONTACTED,VALID
TGT0000199,ACC0015409,CMP0000096,2026-07-07,9,VOICE,QUEUED,VALID
TGT0000200,ACC0009490,CMP0000052,2026-08-08,8,WHATSAPP,EXPIRED,VALID
TGT0000201,ACC0025123,CMP0000056,2026-01-15,3,WHATSAPP,SKIPPED,VALID
TGT0000202,ACC0026754,CMP0000075,2026-03-05,8,SMS,QUEUED,VALID
TGT0000203,ACC0014651,CMP0000094,2026-08-03,8,SMS,CONTACTED,VALID
TGT0000204,ACC0005444,CMP0000051,2026-06-26,7,SMS,CONTACTED,VALID
TGT0000205,ACC0027342,CMP0000070,2026-04-22,1,SMS,QUEUED,VALID
TGT0000206,ACC0001821,CMP0000106,2026-01-15,10,VOICE,EXPIRED,VALID
TGT0000207,ACC0020365,CMP0000045,2026-05-20,3,WHATSAPP,EXPIRED,VALID
TGT0000208,ACC0023596,CMP0000109,2026-04-02,3,WHATSAPP,EXPIRED,VALID
TGT0000209,ACC0005489,CMP0000051,2026-02-14,7,FIELD,EXPIRED,VALID
TGT0000210,ACC0024414,CMP0000065,2026-01-20,8,SMS,CONTACTED,VALID
TGT0000211,ACC0021243,CMP0000005,2026-03-20,3,VOICE,EXPIRED,VALID
TGT0000212,ACC0000342,CMP0000100,2026-02-16,8,WHATSAPP,SKIPPED,VALID
TGT0000213,ACC0012816,CMP0000111,2026-04-12,4,WHATSAPP,EXPIRED,VALID
TGT0000214,ACC0025107,CMP0000090,2026-07-05,9,SMS,QUEUED,VALID
TGT0000215,ACC0020444,CMP0000062,2026-03-30,7,VOICE,CONTACTED,VALID
TGT0000216,ACC0017698,CMP0000074,2026-04-23,5,VOICE,EXPIRED,VALID
TGT0000217,ACC0015939,CMP0000071,2026-05-10,4,WHATSAPP,QUEUED,VALID
TGT0000218,ACC0029381,CMP0000091,2026-04-25,3,SMS,QUEUED,VALID
TGT0000219,ACC0015994,CMP0000108,2026-05-03,3,WHATSAPP,CONTACTED,VALID
TGT0000220,ACC0020161,CMP0000006,2026-01-22,2,VOICE,EXPIRED,VALID
TGT0000221,ACC0008016,CMP0000092,2026-07-01,7,VOICE,QUEUED,VALID
TGT0000222,ACC0010625,CMP0000042,2026-04-21,6,SMS,CONTACTED,VALID
TGT0000223,ACC0008491,CMP0000100,2026-06-20,5,FIELD,EXPIRED,VALID
TGT0000224,ACC0002884,CMP0000065,2026-04-28,2,WHATSAPP,SKIPPED,VALID
TGT0000225,ACC0026261,CMP0000120,2026-02-13,4,WHATSAPP,CONTACTED,VALID
TGT0000226,ACC0008561,CMP0000107,2026-03-19,9,FIELD,QUEUED,VALID
TGT0000227,ACC0022932,CMP0000093,2026-01-01,1,VOICE,EXPIRED,VALID
TGT0000228,ACC0005471,CMP0000056,2026-02-28,3,WHATSAPP,EXPIRED,VALID
TGT0000229,ACC0008384,CMP0000099,2026-04-03,1,WHATSAPP,SKIPPED,VALID
TGT0000230,ACC0001429,CMP0000039,2026-04-03,1,SMS,SKIPPED,VALID
TGT0000231,ACC0017287,CMP0000066,2026-08-03,6,FIELD,QUEUED,VALID
TGT0000232,ACC0029020,CMP0000009,2026-07-17,7,FIELD,CONTACTED,VALID
TGT0000233,ACC0013953,CMP0000036,2026-08-06,9,FIELD,SKIPPED,VALID
TGT0000234,ACC0016942,CMP0000001,2026-01-28,5,SMS,EXPIRED,VALID
TGT0000235,ACC0007650,CMP0000015,2026-05-03,9,FIELD,QUEUED,VALID
TGT0000236,ACC0015617,CMP0000039,2026-04-20,1,WHATSAPP,EXPIRED,VALID
TGT0000237,ACC0029765,CMP0000023,2026-02-21,2,FIELD,CONTACTED,VALID
TGT0000238,ACC0018429,CMP0000092,2026-03-20,8,SMS,QUEUED,VALID
TGT0000239,ACC0011523,CMP0000096,2026-01-15,2,WHATSAPP,EXPIRED,VALID
TGT0000240,ACC0026929,CMP0000037,2026-01-11,4,FIELD,CONTACTED,VALID
TGT0000241,ACC0023776,CMP0000022,2026-03-01,2,WHATSAPP,EXPIRED,VALID
TGT0000242,ACC0028547,CMP0000015,2026-03-09,8,FIELD,SKIPPED,VALID
TGT0000243,ACC0029940,CMP0000031,2026-04-27,1,SMS,EXPIRED,VALID
TGT0000244,ACC0027531,CMP0000010,2026-05-07,1,VOICE,SKIPPED,VALID
TGT0000245,ACC0013169,CMP0000046,2026-07-30,3,VOICE,SKIPPED,VALID
TGT0000246,ACC0008292,CMP0000038,2026-05-28,4,VOICE,QUEUED,VALID
TGT0000247,ACC0005691,CMP0000108,2026-02-02,9,WHATSAPP,CONTACTED,VALID
TGT0000248,ACC0022721,CMP0000008,2026-06-24,1,SMS,CONTACTED,VALID
TGT0000249,ACC0000613,CMP0000098,2026-06-23,5,FIELD,QUEUED,VALID
TGT0000250,ACC0028076,CMP0000002,2026-02-05,7,FIELD,SKIPPED,VALID
TGT0000251,ACC0008208,CMP0000093,2026-02-09,8,SMS,SKIPPED,VALID
TGT0000252,ACC0028302,CMP0000054,2026-03-30,9,SMS,SKIPPED,VALID
TGT0000253,ACC0010121,CMP0000037,2026-03-18,2,FIELD,CONTACTED,VALID
TGT0000254,ACC0025298,CMP0000018,2026-01-26,3,SMS,CONTACTED,VALID
TGT0000255,ACC0009553,CMP0000048,2026-03-12,9,VOICE,SKIPPED,VALID
TGT0000256,ACC0002798,CMP0000080,2026-08-03,3,WHATSAPP,SKIPPED,VALID
TGT0000257,ACC0008095,CMP0000086,2026-01-18,4,SMS,EXPIRED,VALID
TGT0000258,ACC0026631,CMP0000112,2026-05-15,6,VOICE,EXPIRED,VALID
TGT0000259,ACC0012226,CMP0000115,2026-05-27,8,SMS,QUEUED,VALID
TGT0000260,ACC0016915,CMP0000063,2026-07-27,1,WHATSAPP,QUEUED,VALID
TGT0000261,ACC0013679,CMP0000046,2026-05-03,4,WHATSAPP,EXPIRED,VALID
TGT0000262,ACC0021056,CMP0000118,2026-04-11,10,FIELD,CONTACTED,VALID
TGT0000263,ACC0008862,CMP0000072,2026-04-16,7,VOICE,CONTACTED,VALID
TGT0000264,ACC0014339,CMP0000075,2026-04-22,3,WHATSAPP,EXPIRED,VALID
TGT0000265,ACC0019859,CMP0000073,2026-01-20,5,FIELD,EXPIRED,VALID
TGT0000266,ACC0010858,CMP0000069,2026-04-27,3,SMS,CONTACTED,VALID
TGT0000267,ACC0011200,CMP0000085,2026-01-20,10,WHATSAPP,CONTACTED,VALID
TGT0000268,ACC0013131,CMP0000117,2026-03-29,1,WHATSAPP,EXPIRED,VALID
TGT0000269,ACC0010987,CMP0000036,2026-06-19,3,WHATSAPP,SKIPPED,VALID
TGT0000270,ACC0005120,CMP0000017,2026-01-26,5,SMS,CONTACTED,VALID
TGT0000271,ACC0021912,CMP0000010,2026-06-21,5,VOICE,CONTACTED,VALID
TGT0000272,ACC0025804,CMP0000036,2026-05-28,4,VOICE,SKIPPED,VALID
TGT0000273,ACC0008640,CMP0000080,2026-03-14,9,FIELD,EXPIRED,VALID
TGT0000274,ACC0007920,CMP0000110,2026-04-09,5,VOICE,CONTACTED,VALID
TGT0000275,ACC0016685,CMP0000081,2026-06-27,5,VOICE,QUEUED,VALID
TGT0000276,ACC0019537,CMP0000099,2026-08-02,1,WHATSAPP,EXPIRED,VALID
TGT0000277,ACC0006027,CMP0000065,2026-05-27,5,FIELD,SKIPPED,VALID
TGT0000278,ACC0020697,CMP0000051,2026-08-08,1,SMS,CONTACTED,VALID
TGT0000279,ACC0001287,CMP0000091,2026-05-21,4,VOICE,EXPIRED,VALID
TGT0000280,ACC0019201,CMP0000090,2026-01-29,6,SMS,EXPIRED,VALID
TGT0000281,ACC0010087,CMP0000049,2026-01-05,6,FIELD,EXPIRED,VALID
TGT0000282,ACC0016377,CMP0000053,2026-04-17,1,FIELD,EXPIRED,VALID
TGT0000283,ACC0011913,CMP0000112,2026-05-06,10,WHATSAPP,CONTACTED,VALID
TGT0000284,ACC0011166,CMP0000014,2026-04-09,4,SMS,SKIPPED,VALID
TGT0000285,ACC0015770,CMP0000100,2026-01-26,3,SMS,SKIPPED,VALID
TGT0000286,ACC0004927,CMP0000064,2026-05-14,5,WHATSAPP,SKIPPED,VALID
TGT0000287,ACC0018874,CMP0000120,2026-04-09,5,SMS,EXPIRED,VALID
TGT0000288,ACC0005110,CMP0000083,2026-08-07,1,WHATSAPP,CONTACTED,VALID
TGT0000289,ACC0006888,CMP0000095,2026-01-01,8,WHATSAPP,SKIPPED,VALID
TGT0000290,ACC0000393,CMP0000052,2026-01-09,4,FIELD,CONTACTED,VALID
TGT0000291,ACC0007187,CMP0000061,2026-03-31,2,FIELD,SKIPPED,VALID
TGT0000292,ACC0007133,CMP0000115,2026-03-24,5,FIELD,QUEUED,VALID
TGT0000293,ACC0024608,CMP0000057,2026-07-27,8,WHATSAPP,SKIPPED,VALID
TGT0000294,ACC0004654,CMP0000119,2026-05-11,1,WHATSAPP,SKIPPED,VALID
TGT0000295,ACC0021323,CMP0000023,2026-04-29,3,FIELD,QUEUED,VALID
TGT0000296,ACC0022050,CMP0000017,2026-08-04,6,VOICE,EXPIRED,VALID
TGT0000297,ACC0000274,CMP0000033,2026-03-05,1,SMS,SKIPPED,VALID
TGT0000298,ACC0007657,CMP0000120,2026-03-29,3,FIELD,QUEUED,VALID
TGT0000299,ACC0010310,CMP0000097,2026-04-04,10,WHATSAPP,QUEUED,VALID
TGT0000300,ACC0007970,CMP0000012,2026-05-27,10,FIELD,QUEUED,VALID
