campaign_id,campaign_name,channel,strategy_version,start_at,end_at,targeted_records,targeted_accounts,calls,called_accounts,total_duration_sec,attributed_successful_payments,attributed_recovery,paying_accounts,payment_conversion_pct,recovery_per_targeted_account
CMP0000088,30DPD_W1,MIXED,v1,2026-02-15 08:21:24,2026-03-05 08:21:24,406,403,704,700,322411,17,1348063.98,17,4.218362282878412,3345.0719106699753
CMP0000089,DIGITAL_FOLLOWUP,WHATSAPP,legacy,2026-04-16 00:37:46,2026-04-29 00:37:46,367,366,754,743,331622,8,588580.6799999999,8,2.185792349726776,1608.1439344262294
CMP0000090,30DPD_W1,FIELD,v2,2026-02-22 22:34:41,2026-05-08 22:34:41,380,379,741,731,339148,9,768551.75,9,2.3746701846965697,2027.8410290237466
CMP0000091,DIGITAL_FOLLOWUP,VOICE,v3,2026-02-01 07:10:37,2026-04-29 07:10:37,378,377,737,731,342239,12,950965.62,12,3.183023872679045,2522.455225464191
CMP0000092,NPA_RECOVERY,SMS,v3,2026-04-15 09:20:45,2026-06-23 09:20:45,393,392,806,796,376950,22,1409377.1,22,5.612244897959184,3595.349744897959
CMP0000093,60DPD_INTENT,SMS,legacy,2026-04-28 07:59:35,2026-05-05 07:59:35,417,414,747,733,339118,9,763548.33,8,1.932367149758454,1844.3196376811593
CMP0000094,60DPD_INTENT,WHATSAPP,v3,2026-04-16 05:34:54,2026-05-26 05:34:54,359,355,743,735,338107,8,613064.34,8,2.2535211267605635,1726.9418028169014
CMP0000095,DIGITAL_FOLLOWUP,VOICE,legacy,2026-05-06 00:27:03,2026-05-12 00:27:03,384,384,761,752,343659,15,1611801.73,14,3.6458333333333335,4197.400338541666
CMP0000096,DIGITAL_FOLLOWUP,WHATSAPP,legacy,2026-03-24 06:37:49,2026-04-21 06:37:49,386,383,777,768,359465,10,679343.6799999999,10,2.610966057441253,1773.7432898172322
CMP0000097,NPA_RECOVERY,MIXED,v2,2026-05-19 08:56:41,2026-06-01 08:56:41,361,359,739,730,349235,13,1012692.44,13,3.6211699164345403,2820.870306406685
CMP0000098,DIGITAL_FOLLOWUP,WHATSAPP,legacy,2026-01-09 09:55:35,2026-03-16 09:55:35,339,337,773,768,358330,19,1482833.97,19,5.637982195845697,4400.1008011869435
CMP0000099,BOUNCE,WHATSAPP,legacy,2026-03-02 17:01:23,2026-03-24 17:01:23,378,373,735,727,330202,18,1273746.55,17,4.557640750670242,3414.870107238606
CMP0000100,BOUNCE,WHATSAPP,v3,2026-03-17 20:23:22,2026-05-08 20:23:22,368,366,791,785,357918,14,1129125.69,14,3.825136612021858,3085.042868852459
CMP0000101,BOUNCE,MIXED,v3,2026-04-26 07:04:43,2026-07-11 07:04:43,371,368,748,738,357666,11,792034.5700000001,11,2.989130434782609,2152.2678532608697
CMP0000102,NPA_RECOVERY,VOICE,legacy,2026-01-22 07:08:48,2026-02-02 07:08:48,362,360,729,711,342642,8,677648.7999999999,8,2.2222222222222223,1882.3577777777775
CMP0000103,NPA_RECOVERY,WHATSAPP,legacy,2026-04-28 08:14:52,2026-07-26 08:14:52,352,351,797,789,359239,11,707485.09,11,3.133903133903134,2015.6270370370369
CMP0000104,30DPD_W1,FIELD,legacy,2026-05-17 00:24:18,2026-07-30 00:24:18,366,365,757,747,343808,17,1371732.15,16,4.383561643835616,3758.1702739726024
CMP0000105,BOUNCE,FIELD,v2,2026-05-26 22:40:48,2026-07-11 22:40:48,350,343,752,743,339303,15,921556.54,15,4.373177842565598,2686.7537609329447
CMP0000106,NPA_RECOVERY,SMS,v3,2026-03-22 01:15:07,2026-04-05 01:15:07,369,369,777,769,351026,12,860643.36,12,3.2520325203252036,2332.366829268293
CMP0000107,DIGITAL_FOLLOWUP,SMS,legacy,2026-01-05 12:12:50,2026-01-16 12:12:50,372,369,695,685,319242,14,994609.8200000001,14,3.7940379403794036,2695.4195663956643
CMP0000108,NPA_RECOVERY,VOICE,v3,2026-04-25 09:07:24,2026-07-22 09:07:24,378,374,707,695,324587,14,1307148.82,14,3.7433155080213902,3495.050320855615
CMP0000109,NPA_RECOVERY,MIXED,v1,2026-04-10 13:23:53,2026-07-05 13:23:53,399,397,742,738,336411,18,1353384.6300000001,18,4.534005037783375,3409.0292947103276
CMP0000110,DIGITAL_FOLLOWUP,VOICE,v2,2026-03-27 07:28:13,2026-05-01 07:28:13,387,386,742,736,333628,11,777870.03,11,2.849740932642487,2015.2073316062176
CMP0000111,30DPD_W1,FIELD,v1,2026-04-05 05:48:41,2026-06-23 05:48:41,399,395,747,734,354778,11,952509.3799999999,11,2.7848101265822782,2411.416151898734
CMP0000112,60DPD_INTENT,MIXED,v3,2026-01-07 16:43:03,2026-02-01 16:43:03,376,375,784,776,351912,7,660436.24,7,1.866666666666667,1761.1633066666666
CMP0000113,30DPD_W1,WHATSAPP,legacy,2026-05-14 21:42:31,2026-06-14 21:42:31,349,345,711,705,327300,17,1110247.4,17,4.9275362318840585,3218.108405797101
CMP0000114,60DPD_INTENT,SMS,legacy,2026-01-24 03:20:49,2026-02-21 03:20:49,396,392,822,805,371689,16,1048325.3099999999,16,4.081632653061225,2674.2992602040813
CMP0000115,BOUNCE,FIELD,v2,2026-05-20 02:04:12,2026-07-13 02:04:12,359,358,768,751,355589,15,992932.25,15,4.189944134078212,2773.5537709497207
CMP0000116,DIGITAL_FOLLOWUP,VOICE,v1,2026-05-09 23:11:42,2026-06-03 23:11:42,371,368,815,804,372412,15,1130952.09,15,4.076086956521739,3073.239375
CMP0000117,BOUNCE,VOICE,v3,2026-02-25 19:12:52,2026-04-09 19:12:52,359,356,752,744,338674,19,1876268.3199999998,18,5.056179775280898,5270.416629213482
CMP0000118,30DPD_W1,FIELD,v3,2026-03-07 10:51:06,2026-05-11 10:51:06,346,344,732,722,337591,13,968386.6,12,3.488372093023256,2815.077325581395
CMP0000119,30DPD_W1,SMS,v2,2026-03-03 09:44:21,2026-04-19 09:44:21,390,389,760,755,336620,13,1152544.15,13,3.3419023136246784,2962.8384318766066
CMP0000120,NPA_RECOVERY,SMS,v3,2026-03-30 14:30:16,2026-05-03 14:30:16,352,351,701,689,331194,11,713399.75,11,3.133903133903134,2032.4779202279203
